"breed","no_dogs","average_no_intakes","max_no_intakes","no_dogs_with_at_least_2_intakes","recidivism_percentage"
"Pug/Chihuahua Shorthair","33","1.12","3","3","9.09"
"Cairn Terrier Mix","321","1.09","2","29","9.03"
"Australian Cattle Dog","78","1.12","3","7","8.97"
"Miniature Schnauzer/Miniature Poodle","67","1.10","3","6","8.96"
"Chihuahua Shorthair/Rat Terrier","56","1.09","2","5","8.93"
"Miniature Schnauzer Mix","365","1.11","4","32","8.77"
"Chihuahua Shorthair Mix","4430","1.10","4","379","8.56"
"Australian Shepherd Mix","425","1.11","6","36","8.47"
"Toy Poodle Mix","96","1.09","3","8","8.33"
"Great Pyrenees Mix","318","1.10","4","26","8.18"
"Collie Smooth Mix","74","1.12","3","6","8.11"
"Pug Mix","112","1.12","4","9","8.04"
"Pomeranian Mix","112","1.10","3","9","8.04"
"Shih Tzu","106","1.08","2","8","7.55"
"Dachshund Mix","750","1.08","5","56","7.47"
"Cocker Spaniel Mix","99","1.09","4","7","7.07"
"Golden Retriever Mix","145","1.08","3","10","6.90"
"Yorkshire Terrier","44","1.07","2","3","6.82"
"Chihuahua Longhair Mix","345","1.08","3","23","6.67"
"Soft Coated Wheaten Terrier Mix","46","1.07","2","3","6.52"
"Maltese Mix","144","1.08","3","9","6.25"
"Pembroke Welsh Corgi Mix","48","1.06","2","3","6.25"
"Dachshund","96","1.06","2","6","6.25"
"Yorkshire Terrier Mix","419","1.07","4","26","6.21"
"Shiba Inu Mix","35","1.06","2","2","5.71"
"Queensland Heeler Mix","141","1.06","3","8","5.67"
"Lhasa Apso Mix","101","1.07","3","5","4.95"
"Pug","44","1.05","2","2","4.55"
"Shih Tzu Mix","280","1.04","4","10","3.57"
"Pekingese Mix","73","1.03","2","2","2.74"
"Bruss Griffon Mix","38","1.00","1","0","0.00"
